"Lon" "Lat" "Scenario" "initial_recruitment_BNE" "initial_recruitment_IBS" "initial_recruitment_TeBS" "initial_recruitment_Tundra" "initial_recruitment_otherC" "recruitment_ten_years_BNE" "recruitment_ten_years_IBS" "recruitment_ten_years_TeBS" "recruitment_ten_years_Tundra" "recruitment_ten_years_otherC" "previous_state_BNE" "previous_state_IBS" "previous_state_TeBS" "previous_state_Tundra" "previous_state_otherC"
"100" 51.25 63.75 "Control" 18 0 0 19 0 160 0 0 180 0 0.19 0.13 0 0.51 0.15
"101" 53.75 62.25 "Control" 23 0 0 26 0 175 0 0 177 1 0.06 0.09 0 0.57 0.08
"102" 60.75 56.25 "Control" 39 12 0 41 3 197 13 0 212 4 0.46 1.54 0 0.57 0.86
"103" 62.25 63.25 "Control" 17 0 0 21 0 226 0 0 241 2 0.34 0 0 0.21 0.1
"104" 77.25 65.75 "Control" 6 0 0 13 0 73 0 0 166 0 1.29 0 0 0.09 0
"105" 78.25 60.75 "Control" 15 0 0 20 0 90 4 0 128 0 0.07 0.64 0 0.85 0.17
"106" 97.25 57.25 "Control" 28 0 0 29 6 196 0 0 205 22 1.53 0 0 0.13 0
"107" 106.25 52.75 "Control" 29 2 0 40 3 117 2 0 161 4 0.5 0.88 0 0.27 0.88
"108" 138.25 53.25 "Control" 27 0 0 23 0 314 0 0 233 3 0.04 0.01 0 0.37 0.04
"109" -133.75 59.25 "Control" 0 0 0 41 0 0 0 0 387 0 0.06 0 0 0.32 0.08
"110" -86.75 52.75 "Control" 22 0 0 28 0 144 1 0 208 1 2 0.17 0 0.07 0.82
"111" 28.75 68.75 "Control" 20 0 0 16 0 340 0 0 234 12 2.21 0 0 0.05 0.03
"112" 38.75 62.75 "Control" 35 0 0 24 0 327 0 0 179 0 3.53 0 0 0 1.31
"113" 43.25 57.75 "Control" 26 3 0 25 1 148 10 0 139 1 0.31 2.97 0 0.35 1.04
"114" 45.25 66.25 "Control" 15 0 0 13 0 256 0 0 184 2 4.4 0 0 0.09 0.24
"115" 57.25 61.25 "Control" 47 0 0 25 3 262 0 0 158 6 3.51 0 0 0.05 0
"116" 63.25 56.75 "Control" 15 1 0 28 0 89 4 0 138 1 0 9.51 0 0 0
"117" 64.25 64.75 "Control" 7 0 0 10 0 85 0 0 137 0 0.69 0.03 0 0.17 0.28
"118" 74.75 65.25 "Control" 0 0 0 6 0 16 0 0 110 0 0.03 0.02 0 0.42 0.05
"119" 93.25 57.75 "Control" 28 8 0 47 3 123 8 0 175 4 2.88 0 0 0.01 0
"120" 102.75 54.25 "Control" 28 1 0 33 2 154 1 0 152 2 0.16 7.7 0 0 0.65
"121" -144.75 66.25 "Control" 40 0 0 27 3 310 2 0 261 33 5.59 0 0 0 1.42
"122" -115.25 59.25 "Control" 72 0 0 38 11 404 0 0 220 16 3.11 0 0 0.04 0.08
"123" -89.75 49.75 "Control" 464 0 0 208 24 5488 0 0 2560 64 6.76 0.88 0 1.68 5.04
"124" -83.75 53.75 "Control" 23 0 0 26 0 161 0 0 221 0 1.53 0 0 0.1 0.48
"125" -82.25 52.25 "Control" 35 0 0 22 0 218 1 0 156 0 0.96 1.42 0 0 0.74
"126" -77.25 51.25 "Control" 17 0 0 24 0 179 1 0 242 1 2.14 0 0 0.16 0.71
"127" 27.25 61.75 "Control" 1 0 48 20 0 6 0 280 139 0 0.11 0.29 1.51 0.33 0.59
"128" 29.25 69.25 "Control" 18 0 0 16 75 300 0 0 254 95 2.32 0 0 0.03 0
"129" 35.75 60.75 "Control" 31 2 0 26 0 211 4 0 176 1 0.4 6.91 0 0.04 1.04
"130" 39.25 66.25 "Control" 18 0 0 19 0 250 0 0 242 14 6.37 0 0 0 1.12
"131" 44.75 60.75 "Control" 27 5 0 32 1 205 19 0 211 9 0.49 1.31 0 0.75 0.89
"132" 46.25 60.25 "Control" 28 3 0 30 0 220 10 0 194 3 0.21 0.45 0 0.79 0.31
"133" 55.25 61.75 "Control" 36 0 0 27 0 325 0 0 238 2 0.28 0 0 0.27 0.16
"134" 73.75 65.75 "Control" 21 0 0 6 85 184 0 0 180 86 0.03 0.01 0 0.3 0.02
"135" 77.25 62.75 "Control" 6 0 0 7 0 155 1 0 165 0 2.11 0 0 0.06 0.14
"136" 96.25 56.75 "Control" 168 8 0 200 0 1792 48 0 2496 0 17.76 0.12 0 2.2 0.16
